ID,性别,年龄,职业,征信是否逾期,工资,婚否,购房所属套数,首付款比例,收入支出比例,拟购房面积,贷款期限,是否贷款
191,1,0,1,0,0,1,0,0,3,3,4,1
192,1,2,0,0,3,1,0,0,0,0,0,1
193,1,1,0,0,1,1,0,4,3,0,1,1
194,0,3,0,0,4,2,0,3,1,2,0,1
195,0,0,0,0,1,1,0,2,1,0,0,1
196,1,0,0,0,1,2,0,3,0,0,4,0
197,1,1,1,0,0,2,0,4,1,0,1,0
198,1,1,1,0,3,1,0,4,1,1,1,1
199,1,1,1,0,2,2,0,2,1,0,4,1
200,1,3,1,0,4,1,0,0,1,3,0,1
201,0,0,1,0,4,1,0,0,0,0,4,1
202,0,0,1,0,4,1,0,0,2,0,4,1
203,1,3,0,0,1,0,0,0,1,3,1,0
204,0,0,1,0,3,1,0,3,1,2,4,1
205,1,1,1,0,3,1,0,2,1,0,3,1
206,0,2,1,0,4,1,0,2,1,2,0,1
207,0,2,0,0,2,1,0,3,0,2,4,0
208,1,2,1,0,1,2,0,2,0,0,2,0
209,0,1,1,0,2,1,0,2,1,2,0,1
210,0,1,1,0,1,1,0,2,1,2,0,1
211,1,2,1,0,1,1,0,0,0,0,3,1
212,1,2,1,0,4,1,0,1,2,1,4,1
213,0,1,1,0,1,2,0,1,2,2,4,0
214,1,2,1,0,1,1,1,4,1,1,4,0
215,1,0,1,0,4,1,0,0,1,3,3,1
216,0,1,0,0,1,2,0,3,2,3,1,0
217,0,1,1,0,4,2,0,2,1,2,3,1
218,1,0,1,0,4,1,0,2,3,3,3,1
219,1,0,1,0,4,1,0,0,0,2,4,1
220,0,0,1,0,3,1,0,1,2,0,0,1
221,0,1,1,0,3,1,0,3,0,3,0,1
222,0,2,1,0,2,2,0,4,2,3,4,1
223,0,0,0,1,3,1,0,0,1,0,4,0
224,0,1,1,1,3,1,0,0,3,3,4,0
225,1,3,1,0,2,1,0,4,0,0,4,1
226,1,0,1,0,3,1,0,1,0,1,0,1
227,1,1,0,0,1,1,0,0,0,3,4,0
228,1,1,1,0,2,2,0,1,0,1,0,0
229,0,2,1,0,0,1,0,2,1,0,3,0
230,1,1,1,0,0,2,0,2,0,0,0,0
231,1,1,1,1,2,1,0,4,0,0,0,0
